1890;1944;spinbot;003539824982081142854_1688020804;????
3310;3601;bhop;003539824982081142854_1688020804;????
3849;3886;spinbot;003539824982081142854_1688020804;????
3941;3980;spinbot;003539824982081142854_1688020804;????
4060;4140;spinbot;003539824982081142854_1688020804;????
4190;4228;spinbot;003539824982081142854_1688020804;????
4603;5000;bhop;003539824982081142854_1688020804;????
5438;5710;bhop;003539824982081142854_1688020804;????
7966;8260;bhop;003539824982081142854_1688020804;????
8775;8819;bhop;003539824982081142854_1688020804;????
8989;9054;spinbot;003539824982081142854_1688020804;????
20651;21126;bhop;003539824982081142854_1688020804;????
24510;24609;spinbot;003539824982081142854_1688020804;????
26210;26513;bhop;003539824982081142854_1688020804;????
38251;38774;bhop;003539824982081142854_1688020804;????
40000;40088;spinbot;003539824982081142854_1688020804;????
41609;41950;bhop;003539824982081142854_1688020804;????
43622;43662;spinbot;003539824982081142854_1688020804;????
45786;45802;spinbot;003539824982081142854_1688020804;????
47340;47630;bhop;003539824982081142854_1688020804;????
48878;48884;spinbot;003539824982081142854_1688020804;????
52390;52467;spinbot;003539824982081142854_1688020804;????
52660;52679;spinbot;003539824982081142854_1688020804;????
54091;54400;bhop;003539824982081142854_1688020804;????
55700;55764;spinbot;003539824982081142854_1688020804;????
57371;57500;bhop;003539824982081142854_1688020804;????
58729;58809;spinbot;003539824982081142854_1688020804;????
61121;61375;bhop;003539824982081142854_1688020804;????
62784;62794;spinbot;003539824982081142854_1688020804;????
64677;64971;bhop;003539824982081142854_1688020804;????
10432;10441;spinbot;003539824982081142854_1688020804;wh1sper
10500;10556;spinbot;003539824982081142854_1688020804;wh1sper
10565;10586;spinbot;003539824982081142854_1688020804;wh1sper
10681;10707;spinbot;003539824982081142854_1688020804;wh1sper
68979;69105;bhop;003539824982081142854_1688020804;????
70580;70620;spinbot;003539824982081142854_1688020804;????
72047;72400;bhop;003539824982081142854_1688020804;????
74035;74060;spinbot;003539824982081142854_1688020804;2892861868
76303;76502;bhop;003539824982081142854_1688020804;2892861868
78861;79340;bhop;003539824982081142854_1688020804;2892861868
79520;79541;spinbot;003539824982081142854_1688020804;2892861868
23718;23750;spinbot;003539824982081142854_1688020804;TGZz2810877???
27983;28010;spinbot;003539824982081142854_1688020804;TGZz2810877???
28390;28404;spinbot;003539824982081142854_1688020804;TGZz2810877???
40056;40070;spinbot;003539824982081142854_1688020804;TGZz2810877???
41571;41830;bhop;003539824982081142854_1688020804;TGZz2810877???
42261;42297;spinbot;003539824982081142854_1688020804;TGZz2810877???
47268;47470;bhop;003539824982081142854_1688020804;TGZz2810877???
47856;47894;spinbot;003539824982081142854_1688020804;TGZz2810877???
48038;48094;spinbot;003539824982081142854_1688020804;TGZz2810877???
54747;54778;spinbot;003539824982081142854_1688020804;TGZz2810877???
75534;75743;bhop;003539824982081142854_1688020804;????
80390;80484;spinbot;003539824982081142854_1688020804;????
81947;82180;bhop;003539824982081142854_1688020804;????
82738;82582;spinbot;003539824982081142854_1688020804;????
85979;86054;bhop;003539824982081142854_1688020804;????
86780;86820;spinbot;003539824982081142854_1688020804;????
89727;89759;spinbot;003539824982081142854_1688020804;????
91820;91849;spinbot;003539824982081142854_1688020804;????
91900;91924;spinbot;003539824982081142854_1688020804;????
